ID,name,description
11111111,Exploration,Handles deep space exploration
22222222,Research,Focuses on cosmic phenomena
33333333,Engineering,Maintains and improves spacecraft systems
44444444,Medical,Provides healthcare to crew members
55555555,Communication,Manages interstellar communication networks
66666666,Security,Ensures safety aboard spacecraft
77777777,Logistics,Coordinates supplies and resources
88888888,Training,Conducts crew training programs
99999999,Navigation,Plans and directs travel routes
10101010,Science,Conducts scientific experiments and studies
